Parameter,Type,Minimum,Maximum,Median,Mean,s.d.
A,ALL,7.48,111.42,13.98,19.86,22.04
A,ON,7.48,111.42,13.7,22.87,27.11
A,OFF,10.15,20.29,14.20,14.27,3.34
A,L,7.48,27.22,13.35,14.50,5.22
A,M,9.98,111.42,17.62,26.41,32.11
NL,ALL,16.0,36.0,26.50,26.85,4.71
NL,ON,16.0,36.0,26.0,26.92,4.65
NL,OFF,19.0,36.0,27.0,26.71,5.21
NL,L,22.0,36.0,26.0,27.10,3.70
NL,M,16.0,36.0,28.0,26.56,5.96
NLtL,ALL,44.28,64.53,55.31,53.43,5.46
NLtL,ON,44.28,64.53,55.33,53.80,5.25
NLtL,OFF,45.40,60.76,55.28,52.76,6.19
NLtL,L,44.28,57.62,52.25,51.52,4.68
NLtL,M,46.46,64.53,56.25,55.77,5.67
HS,ALL,0.41,0.94,0.68,0.68,0.13
HS,ON,0.41,0.94,0.64,0.67,0.15
HS,OFF,0.56,0.79,0.74,0.71,0.09
HS,L,0.41,0.81,0.71,0.69,0.12
HS,M,0.44,0.94,0.64,0.68,0.15
tS,ALL,1.78,51.85,21.25,22.19,12.36
tS,ON,1.78,51.85,16.31,21.10,14.91
tS,OFF,14.60,30.86,26.65,24.22,5.63
tS,L,7.97,51.85,19.74,22.88,13.00
tS,M,1.78,39.90,22.40,21.35,12.25